Gene Symbol	Description	Category	Gifts	GC Id	Relevance score	 GeneCards Link
DSC2	Desmocollin 2	Protein Coding	53	GC18M031058	2.42	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSC2
BRD2	Bromodomain Containing 2	Protein Coding	52	GC06P032958	2.42	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD2
STC1	Stanniocalcin 1	Protein Coding	47	GC08M023841	2.42	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STC1
CDKN3	Cyclin Dependent Kinase Inhibitor 3	Protein Coding	47	GC14P054398	2.42	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN3
RPS6KA5	Ribosomal Protein S6 Kinase A5	Protein Coding	49	GC14M090847	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA5
LAT	Linker For Activation Of T Cells	Protein Coding	53	GC16P028998	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAT
C7	Complement C7	Protein Coding	50	GC05P040945	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C7
ASPH	Aspartate Beta-Hydroxylase	Protein Coding	49	GC08M061500	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPH
COL14A1	Collagen Type XIV Alpha 1 Chain	Protein Coding	49	GC08P120060	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL14A1
ASGR2	Asialoglycoprotein Receptor 2	Protein Coding	46	GC17M007101	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASGR2
PTMA	Prothymosin Alpha	Protein Coding	45	GC02P231707	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTMA
BCL7B	BCL Tumor Suppressor 7B	Protein Coding	42	GC07M073536	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL7B
MT-TL1	Mitochondrially Encoded TRNA Leucine 1 (UUA/G)	RNA Gene	16	GCMTP003232	2.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TL1
ADCY10	Adenylate Cyclase 10	Protein Coding	50	GC01M167778	2.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY10
PRL	Prolactin	Protein Coding	49	GC06M022230	2.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRL
TRPC6	Transient Receptor Potential Cation Channel Subfamily C Member 6	Protein Coding	55	GC11M101356	2.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPC6
F11R	F11 Receptor	Protein Coding	50	GC01M160965	2.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F11R
GZMA	Granzyme A	Protein Coding	49	GC05P055102	2.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMA
ADCYAP1	Adenylate Cyclase Activating Polypeptide 1	Protein Coding	48	GC18P000895	2.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCYAP1
CASP12	Caspase 12 (Gene/Pseudogene)	Protein Coding	37	GC11M104885	2.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP12
YAP1	Yes Associated Protein 1	Protein Coding	54	GC11P102110	2.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1
GHSR	Growth Hormone Secretagogue Receptor	Protein Coding	54	GC03M172443	2.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHSR
AAAS	Aladin WD Repeat Nucleoporin	Protein Coding	47	GC12M053307	2.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAAS
PTGER1	Prostaglandin E Receptor 1	Protein Coding	47	GC19M014444	2.38	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER1
GPR65	G Protein-Coupled Receptor 65	Protein Coding	44	GC14P088005	2.38	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR65
CDK5	Cyclin Dependent Kinase 5	Protein Coding	59	GC07M151053	2.38	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5
ARRB2	Arrestin Beta 2	Protein Coding	51	GC17P004711	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB2
LEF1	Lymphoid Enhancer Binding Factor 1	Protein Coding	54	GC04M108047	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEF1
CKB	Creatine Kinase B	Protein Coding	52	GC14M103519	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CKB
CCKAR	Cholecystokinin A Receptor	Protein Coding	52	GC04M026483	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCKAR
FTCD	Formimidoyltransferase Cyclodeaminase	Protein Coding	49	GC21M046174	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTCD
ASGR1	Asialoglycoprotein Receptor 1	Protein Coding	47	GC17M007173	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASGR1
FRZB	Frizzled Related Protein	Protein Coding	47	GC02M182833	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRZB
LAD1	Ladinin 1	Protein Coding	44	GC01M201373	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAD1
PTPMT1	Protein Tyrosine Phosphatase, Mitochondrial 1	Protein Coding	42	GC11P047586	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPMT1
SAGE1	Sarcoma Antigen 1	Protein Coding	36	GC0XP135889	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAGE1
NR1I3	Nuclear Receptor Subfamily 1 Group I Member 3	Protein Coding	52	GC01M161199	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I3
NLRP2	NLR Family Pyrin Domain Containing 2	Protein Coding	48	GC19P054953	2.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP2
ITGAX	Integrin Subunit Alpha X	Protein Coding	50	GC16P031366	2.36	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAX
LTB4R2	Leukotriene B4 Receptor 2	Protein Coding	47	GC14P024321	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTB4R2
PCYT1A	Phosphate Cytidylyltransferase 1, Choline, Alpha	Protein Coding	54	GC03M196214	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCYT1A
C8B	Complement C8 Beta Chain	Protein Coding	49	GC01M056929	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C8B
C8A	Complement C8 Alpha Chain	Protein Coding	47	GC01P056854	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C8A
NXN	Nucleoredoxin	Protein Coding	47	GC17M000799	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NXN
C21orf2	Chromosome 21 Open Reading Frame 2	Protein Coding	42	GC21M044329	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C21orf2
CEP83	Centrosomal Protein 83	Protein Coding	39	GC12M094265	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP83
SELENON	Selenoprotein N	Protein Coding	37	GC01P025800	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENON
VAV1	Vav Guanine Nucleotide Exchange Factor 1	Protein Coding	54	GC19P006772	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAV1
GNAI1	G Protein Subunit Alpha I1	Protein Coding	52	GC07P080133	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAI1
CD70	CD70 Molecule	Protein Coding	48	GC19M006583	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD70
NOTCH2	Notch 2	Protein Coding	57	GC01M119911	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2
ELAVL1	ELAV Like RNA Binding Protein 1	Protein Coding	48	GC19M007958	2.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL1
PIK3CB	Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta	Protein Coding	54	GC03M138652	2.34	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CB
NSMCE2	NSE2 (MMS21) Homolog, SMC5-SMC6 Complex SUMO Ligase	Protein Coding	44	GC08P125091	2.34	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSMCE2
UNC119	Unc-119 Lipid Binding Chaperone	Protein Coding	48	GC17M028546	2.33	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC119
AGK	Acylglycerol Kinase	Protein Coding	49	GC07P141551	2.33	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGK
HDAC1	Histone Deacetylase 1	Protein Coding	57	GC01P032260	2.33	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
CTTN	Cortactin	Protein Coding	49	GC11P070398	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTTN
CSNK1D	Casein Kinase 1 Delta	Protein Coding	58	GC17M082239	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1D
DLD	Dihydrolipoamide Dehydrogenase	Protein Coding	57	GC07P107890	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLD
OAT	Ornithine Aminotransferase	Protein Coding	54	GC10M124397	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAT
ATP2C1	ATPase Secretory Pathway Ca2+ Transporting 1	Protein Coding	50	GC03P130850	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2C1
GALNT3	Polypeptide N-Acetylgalactosaminyltransferase 3	Protein Coding	50	GC02M165747	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT3
SLC12A4	Solute Carrier Family 12 Member 4	Protein Coding	50	GC16M067944	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC12A4
UBR1	Ubiquitin Protein Ligase E3 Component N-Recognin 1	Protein Coding	49	GC15M042942	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBR1
ADAM22	ADAM Metallopeptidase Domain 22	Protein Coding	48	GC07P087934	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM22
IFITM1	Interferon Induced Transmembrane Protein 1	Protein Coding	47	GC11P000313	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM1
MAN2A1	Mannosidase Alpha Class 2A Member 1	Protein Coding	47	GC05P109689	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAN2A1
DDB1	Damage Specific DNA Binding Protein 1	Protein Coding	47	GC11M061317	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDB1
PRSS21	Serine Protease 21	Protein Coding	45	GC16P003511	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS21
FAF2	Fas Associated Factor Family Member 2	Protein Coding	44	GC05P176447	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAF2
GLCCI1	Glucocorticoid Induced 1	Protein Coding	44	GC07P007974	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLCCI1
RASSF6	Ras Association Domain Family Member 6	Protein Coding	44	GC04M073571	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF6
MX2	MX Dynamin Like GTPase 2	Protein Coding	44	GC21P041361	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MX2
NT5C1B	5'-Nucleotidase, Cytosolic IB	Protein Coding	43	GC02M018562	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5C1B
HTR3E	5-Hydroxytryptamine Receptor 3E	Protein Coding	42	GC03P184098	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3E
CLNK	Cytokine Dependent Hematopoietic Cell Linker	Protein Coding	41	GC04M010491	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLNK
ELMOD2	ELMO Domain Containing 2	Protein Coding	41	GC04P140524	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELMOD2
TNP1	Transition Protein 1	Protein Coding	40	GC02M216859	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNP1
C5orf30	Chromosome 5 Open Reading Frame 30	Protein Coding	39	GC05P103258	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5orf30
CDH26	Cadherin 26	Protein Coding	40	GC20P059958	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH26
CHST2	Carbohydrate Sulfotransferase 2	Protein Coding	44	GC03P143119	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST2
KEAP1	Kelch Like ECH Associated Protein 1	Protein Coding	54	GC19M010457	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEAP1
NTS	Neurotensin	Protein Coding	46	GC12P085876	2.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTS
UCP2	Uncoupling Protein 2	Protein Coding	52	GC11M073974	2.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2
ESM1	Endothelial Cell Specific Molecule 1	Protein Coding	44	GC05M054977	2.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESM1
NEU1	Neuraminidase 1	Protein Coding	50	GC06M031857	2.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEU1
S100A1	S100 Calcium Binding Protein A1	Protein Coding	49	GC01P153627	2.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A1
YWHAG	Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma	Protein Coding	54	GC07M076327	2.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAG
ALS2	ALS2, Alsin Rho Guanine Nucleotide Exchange Factor	Protein Coding	51	GC02M201701	2.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALS2
GLMN	Glomulin, FKBP Associated Protein	Protein Coding	46	GC01M092246	2.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLMN
SLCO4C1	Solute Carrier Organic Anion Transporter Family Member 4C1	Protein Coding	45	GC05M102233	2.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO4C1
F7	Coagulation Factor VII	Protein Coding	54	GC13P113105	2.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F7
THNSL2	Threonine Synthase Like 2	Protein Coding	37	GC02P088170	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=THNSL2
GCG	Glucagon	Protein Coding	47	GC02M162142	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG
CSF2RA	Colony Stimulating Factor 2 Receptor Alpha Subunit	Protein Coding	53	GC0XP001264	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2RA
SERPINB5	Serpin Family B Member 5	Protein Coding	50	GC18P063476	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB5
PCCA	Propionyl-CoA Carboxylase Subunit Alpha	Protein Coding	54	GC13P100089	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCCA
RAD21	RAD21 Cohesin Complex Component	Protein Coding	52	GC08M116846	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD21
SMC3	Structural Maintenance Of Chromosomes 3	Protein Coding	52	GC10P110567	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC3
SMC1A	Structural Maintenance Of Chromosomes 1A	Protein Coding	51	GC0XM053401	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC1A
REV3L	REV3 Like, DNA Directed Polymerase Zeta Catalytic Subunit	Protein Coding	50	GC06M111299	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=REV3L
SLC25A15	Solute Carrier Family 25 Member 15	Protein Coding	50	GC13P040789	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A15
SBDS	SBDS, Ribosome Maturation Factor	Protein Coding	49	GC07M066987	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBDS
PKP1	Plakophilin 1	Protein Coding	48	GC01P201252	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP1
SRP54	Signal Recognition Particle 54	Protein Coding	48	GC14P034981	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRP54
GPR101	G Protein-Coupled Receptor 101	Protein Coding	44	GC0XM137030	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR101
SETD5	SET Domain Containing 5	Protein Coding	43	GC03P009402	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETD5
DNAJC21	DnaJ Heat Shock Protein Family (Hsp40) Member C21	Protein Coding	42	GC05P034929	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC21
MT-CO1	Mitochondrially Encoded Cytochrome C Oxidase I	Protein Coding	36	GCMTP005906	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO1
EFL1	Elongation Factor Like GTPase 1	Protein Coding	36	GC15M082131	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFL1
MT-CO3	Mitochondrially Encoded Cytochrome C Oxidase III	Protein Coding	32	GCMTP009209	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO3
MT-TS1	Mitochondrially Encoded TRNA Serine 1 (UCN)	RNA Gene	15	GCMTM007447	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TS1
MT-TS2	Mitochondrially Encoded TRNA Serine 2 (AGU/C)	RNA Gene	15	GCMTP012215	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TS2
MT-TF	Mitochondrially Encoded TRNA Phenylalanine	RNA Gene	14	GCMTP000580	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TF
MT-TH	Mitochondrially Encoded TRNA Histidine	RNA Gene	14	GCMTP012140	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TH
MT-TW	Mitochondrially Encoded TRNA Tryptophan	RNA Gene	14	GCMTP005514	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TW
MT-TQ	Mitochondrially Encoded TRNA Glutamine	RNA Gene	13	GCMTM004331	2.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TQ
KDM6A	Lysine Demethylase 6A	Protein Coding	50	GC0XP044873	2.28	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM6A
TGIF1	TGFB Induced Factor Homeobox 1	Protein Coding	52	GC18P003411	2.28	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGIF1
HDAC4	Histone Deacetylase 4	Protein Coding	57	GC02M239048	2.28	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC4
WNT4	Wnt Family Member 4	Protein Coding	53	GC01M022190	2.28	https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT4
COL6A3	Collagen Type VI Alpha 3 Chain	Protein Coding	51	GC02M237324	2.28	https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL6A3
TFPI	Tissue Factor Pathway Inhibitor	Protein Coding	52	GC02M187464	2.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFPI
F2RL2	Coagulation Factor II Thrombin Receptor Like 2	Protein Coding	46	GC05M076615	2.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL2
CISH	Cytokine Inducible SH2 Containing Protein	Protein Coding	51	GC03M050618	2.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISH
PRDX2	Peroxiredoxin 2	Protein Coding	53	GC19M012796	2.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX2
CANT1	Calcium Activated Nucleotidase 1	Protein Coding	51	GC17M078992	2.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANT1
CD151	CD151 Molecule (Raph Blood Group)	Protein Coding	51	GC11P000836	2.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD151
LAMA2	Laminin Subunit Alpha 2	Protein Coding	50	GC06P128863	2.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA2
UPF1	UPF1, RNA Helicase And ATPase	Protein Coding	45	GC19P018831	2.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPF1
PDYN	Prodynorphin	Protein Coding	49	GC20M001907	2.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDYN
F11	Coagulation Factor XI	Protein Coding	51	GC04P186265	2.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F11
IGF2R	Insulin Like Growth Factor 2 Receptor	Protein Coding	52	GC06P159969	2.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R
UGT1A1	UDP Glucuronosyltransferase Family 1 Member A1	Protein Coding	54	GC02P233760	2.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A1
TFAP2A	Transcription Factor AP-2 Alpha	Protein Coding	53	GC06M010393	2.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A
PTAFR	Platelet Activating Factor Receptor	Protein Coding	49	GC01M028161	2.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTAFR
RXRA	Retinoid X Receptor Alpha	Protein Coding	57	GC09P134317	2.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA
IGFBP2	Insulin Like Growth Factor Binding Protein 2	Protein Coding	50	GC02P216632	2.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP2
VNN1	Vanin 1	Protein Coding	50	GC06M132680	2.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VNN1
IL13RA1	Interleukin 13 Receptor Subunit Alpha 1	Protein Coding	49	GC0XP118727	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13RA1
GRK2	G Protein-Coupled Receptor Kinase 2	Protein Coding	40	GC11P067266	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK2
PANX1	Pannexin 1	Protein Coding	49	GC11P094128	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANX1
CHST1	Carbohydrate Sulfotransferase 1	Protein Coding	42	GC11M045647	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST1
MZB1	Marginal Zone B And B1 Cell Specific Protein	Protein Coding	37	GC05M139387	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MZB1
IFI35	Interferon Induced Protein 35	Protein Coding	43	GC17P043006	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI35
SOAT1	Sterol O-Acyltransferase 1	Protein Coding	50	GC01P179262	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOAT1
PRLR	Prolactin Receptor	Protein Coding	55	GC05M035084	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRLR
XPO1	Exportin 1	Protein Coding	52	GC02M061445	2.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO1
FMR1	Fragile X Mental Retardation 1	Protein Coding	50	GC0XP147912	2.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FMR1
PDGFRL	Platelet Derived Growth Factor Receptor Like	Protein Coding	49	GC08P017576	2.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRL
VASP	Vasodilator Stimulated Phosphoprotein	Protein Coding	49	GC19P045507	2.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASP
PIAS1	Protein Inhibitor Of Activated STAT 1	Protein Coding	52	GC15P068054	2.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS1
PLA2G5	Phospholipase A2 Group V	Protein Coding	51	GC01P020028	2.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G5
LGALS4	Galectin 4	Protein Coding	45	GC19M038971	2.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS4
GRIN2B	Glutamate Ionotropic Receptor NMDA Type Subunit 2B	Protein Coding	55	GC12M013437	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN2B
SLC5A2	Solute Carrier Family 5 Member 2	Protein Coding	54	GC16P031494	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A2
GPT2	Glutamic--Pyruvic Transaminase 2	Protein Coding	53	GC16P046885	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT2
ACADS	Acyl-CoA Dehydrogenase Short Chain	Protein Coding	53	GC12P120780	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADS
GFPT1	Glutamine--Fructose-6-Phosphate Transaminase 1	Protein Coding	53	GC02M069283	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFPT1
PAX3	Paired Box 3	Protein Coding	53	GC02M222199	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX3
HINT1	Histidine Triad Nucleotide Binding Protein 1	Protein Coding	52	GC05M131159	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HINT1
HCFC1	Host Cell Factor C1	Protein Coding	52	GC0XM153947	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCFC1
MUSK	Muscle Associated Receptor Tyrosine Kinase	Protein Coding	52	GC09P110668	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUSK
SOX10	SRY-Box 10	Protein Coding	52	GC22M042356	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX10
IARS	Isoleucyl-TRNA Synthetase	Protein Coding	51	GC09M092210	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IARS
SGSH	N-Sulfoglucosamine Sulfohydrolase	Protein Coding	51	GC17M080206	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGSH
GCSH	Glycine Cleavage System Protein H	Protein Coding	50	GC16M081081	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCSH
CLPB	ClpB Homolog, Mitochondrial AAA ATPase Chaperonin	Protein Coding	50	GC11M072292	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPB
NDUFB9	NADH:Ubiquinone Oxidoreductase Subunit B9	Protein Coding	50	GC08P124539	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB9
GFPT2	Glutamine-Fructose-6-Phosphate Transaminase 2	Protein Coding	49	GC05M180300	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFPT2
AHI1	Abelson Helper Integration Site 1	Protein Coding	49	GC06M135283	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHI1
IGBP1	Immunoglobulin Binding Protein 1	Protein Coding	49	GC0XP070133	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGBP1
LDHC	Lactate Dehydrogenase C	Protein Coding	49	GC11P018433	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDHC
POLI	DNA Polymerase Iota	Protein Coding	48	GC18P054274	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLI
ATP6AP1	ATPase H+ Transporting Accessory Protein 1	Protein Coding	48	GC0XP154428	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP1
HAX1	HCLS1 Associated Protein X-1	Protein Coding	48	GC01P154273	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAX1
AK5	Adenylate Kinase 5	Protein Coding	48	GC01P077281	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AK5
RTN3	Reticulon 3	Protein Coding	48	GC11P063700	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN3
MTFMT	Mitochondrial Methionyl-TRNA Formyltransferase	Protein Coding	48	GC15M065001	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTFMT
RPS17	Ribosomal Protein S17	Protein Coding	48	GC15M082536	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS17
TRIP12	Thyroid Hormone Receptor Interactor 12	Protein Coding	48	GC02M229763	2.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIP12
